ID,USERNAME,FIRST_NAME,LAST_NAME,Password,Grade,Test,Pre-Test Percent Correct,Post-Test Percent Correct,Topic ID,Pre-Test Outcomes,Pre-Test GUIDs,Pre-Test Check-in ID,Post-Test Outcomes,Post-Test GUIDs,Post-Test Check-in ID
8019677,u5050a1t5s,5050_A1_T5,student,insecure,A1,T5,0.5,0.5,22463,"4.CE.2f, 7.CE.1a, 8.PFA.1a, 8.PFA.1b, A.EO.3a, 5.NS.2c","LanternOutcome-14255, LanternOutcome-14294, LanternOutcome-14580, LanternOutcome-14581, LanternOutcome-14611, LanternOutcome-14207",completed,"A.EO.2a, A.EO.2b, A.EO.2e, A.EO.2d, A.EO.2c","LanternOutcome-14606, LanternOutcome-14607, LanternOutcome-14610, LanternOutcome-14609, LanternOutcome-14608",3512449
8019678,u5050a1t6s,5050_A1_T6,student,insecure,A1,T6,0.5,0.7,,"4.CE.2f, 7.CE.1a, 8.PFA.1a, 8.PFA.1b, A.EO.3a, 5.NS.2c","LanternOutcome-14255, LanternOutcome-14294, LanternOutcome-14580, LanternOutcome-14581, LanternOutcome-14611, LanternOutcome-14207",3511545,"A.EO.2a, A.EO.2b, A.EO.2e, A.EO.2d, A.EO.2c","LanternOutcome-14606, LanternOutcome-14607, LanternOutcome-14610, LanternOutcome-14609, LanternOutcome-14608",3512625
8019679,u5050a1t7s,5050_A1_T7,student,insecure,A1,T7,0.5,0.3,,"4.CE.2f, 7.CE.1a, 8.PFA.1a, 8.PFA.1b, A.EO.3a, 5.NS.2c","LanternOutcome-14255, LanternOutcome-14294, LanternOutcome-14580, LanternOutcome-14581, LanternOutcome-14611, LanternOutcome-14207",3511887,"A.EO.2a, A.EO.2b, A.EO.2e, A.EO.2d, A.EO.2c","LanternOutcome-14606, LanternOutcome-14607, LanternOutcome-14610, LanternOutcome-14609, LanternOutcome-14608",3512920
8019692,u5050gt5s,5050_G_T5,student,insecure,G,T5,0.5,0.5,22479,"G.RLT.2c, G.RLT.2a, 4.MG.4c, 8.MG.3d, A.EI.1b, A.F.2c, 5.MG.3e, 6.MG.4d, 8.MG.3e","LanternOutcome-14746, LanternOutcome-14744, LanternOutcome-14345, LanternOutcome-14429, LanternOutcome-14632, LanternOutcome-14686, LanternOutcome-14377, LanternOutcome-14399, LanternOutcome-14430",3511140,"G.RLT.3ciii, G.TR.2d, G.RLT.3cii, G.TR.2a, G.RLT.3ci, G.TR.2b","LanternOutcome-14751, LanternOutcome-14761, LanternOutcome-14750, LanternOutcome-14758, LanternOutcome-14749, LanternOutcome-14759",3512452
8019693,u5050gt6s,5050_G_T6,student,insecure,G,T6,0.5,0.7,,"G.RLT.2c, G.RLT.2a, 4.MG.4c, 8.MG.3d, A.EI.1b, A.F.2c, 5.MG.3e, 6.MG.4d, 8.MG.3e","LanternOutcome-14746, LanternOutcome-14744, LanternOutcome-14345, LanternOutcome-14429, LanternOutcome-14632, LanternOutcome-14686, LanternOutcome-14377, LanternOutcome-14399, LanternOutcome-14430",3511553,"G.RLT.3ciii, G.TR.2d, G.RLT.3cii, G.TR.2a, G.RLT.3ci, G.TR.2b","LanternOutcome-14751, LanternOutcome-14761, LanternOutcome-14750, LanternOutcome-14758, LanternOutcome-14749, LanternOutcome-14759",3512631
8019694,u5050gt7s,5050_G_T7,student,insecure,G,T7,0.5,0.3,,"G.RLT.2c, G.RLT.2a, 4.MG.4c, 8.MG.3d, A.EI.1b, A.F.2c, 5.MG.3e, 6.MG.4d, 8.MG.3e","LanternOutcome-14746, LanternOutcome-14744, LanternOutcome-14345, LanternOutcome-14429, LanternOutcome-14632, LanternOutcome-14686, LanternOutcome-14377, LanternOutcome-14399, LanternOutcome-14430",3511891,"G.RLT.3ciii, G.TR.2d, G.RLT.3cii, G.TR.2a, G.RLT.3ci, G.TR.2b","LanternOutcome-14751, LanternOutcome-14761, LanternOutcome-14750, LanternOutcome-14758, LanternOutcome-14749, LanternOutcome-14759",3512921
8019707,u5050grade7t5s,5050_grade7_T5,student,insecure,7,T5,0.5,0.5,22496,"5.MG.1aiii, 5.MG.1ci, 6.PFA.3e, 6.PFA.1a, 6.PFA.2b, 6.PFA.1f, 6.PFA.2a, 6.PFA.3c, 6.NS.1d, 5.MG.1cii, 6.PFA.3b, 8.NS.1c, 5.MG.1ciii, 5.MG.1aii, 7.CE.1a, 6.PFA.2d, 6.PFA.2e, 5.MG.1ai, 6.PFA.1e","LanternOutcome-14359, LanternOutcome-14363, LanternOutcome-14550, LanternOutcome-14535, LanternOutcome-14542, LanternOutcome-14540, LanternOutcome-14541, LanternOutcome-14548, LanternOutcome-14211, LanternOutcome-14364, LanternOutcome-14547, LanternOutcome-14230, LanternOutcome-14365, LanternOutcome-14358, LanternOutcome-14294, LanternOutcome-14544, LanternOutcome-14545, LanternOutcome-14357, LanternOutcome-14539",3511144,"7.PFA.1e, 7.PFA.1c, 7.PFA.1d, 7.PFA.1a, 7.CE.2d, 7.CE.2c, 7.PFA.1b, 7.CE.2a, 7.CE.2b","LanternOutcome-14561, LanternOutcome-14559, LanternOutcome-14560, LanternOutcome-14557, LanternOutcome-14298, LanternOutcome-14297, LanternOutcome-14558, LanternOutcome-14295, LanternOutcome-14296",3512454
8019708,u5050grade7t6s,5050_grade7_T6,student,insecure,7,T6,0.5,0.7,,"5.MG.1aiii, 5.MG.1ci, 6.PFA.3e, 6.PFA.1a, 6.PFA.2b, 6.PFA.1f, 6.PFA.2a, 6.PFA.3c, 6.NS.1d, 5.MG.1cii, 6.PFA.3b, 8.NS.1c, 5.MG.1ciii, 5.MG.1aii, 7.CE.1a, 6.PFA.2d, 6.PFA.2e, 5.MG.1ai, 6.PFA.1e","LanternOutcome-14359, LanternOutcome-14363, LanternOutcome-14550, LanternOutcome-14535, LanternOutcome-14542, LanternOutcome-14540, LanternOutcome-14541, LanternOutcome-14548, LanternOutcome-14211, LanternOutcome-14364, LanternOutcome-14547, LanternOutcome-14230, LanternOutcome-14365, LanternOutcome-14358, LanternOutcome-14294, LanternOutcome-14544, LanternOutcome-14545, LanternOutcome-14357, LanternOutcome-14539",3511559,"7.PFA.1e, 7.PFA.1c, 7.PFA.1d, 7.PFA.1a, 7.CE.2d, 7.CE.2c, 7.PFA.1b, 7.CE.2a, 7.CE.2b","LanternOutcome-14561, LanternOutcome-14559, LanternOutcome-14560, LanternOutcome-14557, LanternOutcome-14298, LanternOutcome-14297, LanternOutcome-14558, LanternOutcome-14295, LanternOutcome-14296",3512637
8019709,u5050grade7t7s,5050_grade7_T7,student,insecure,7,T7,0.5,0.3,,"5.MG.1aiii, 5.MG.1ci, 6.PFA.3e, 6.PFA.1a, 6.PFA.2b, 6.PFA.1f, 6.PFA.2a, 6.PFA.3c, 6.NS.1d, 5.MG.1cii, 6.PFA.3b, 8.NS.1c, 5.MG.1ciii, 5.MG.1aii, 7.CE.1a, 6.PFA.2d, 6.PFA.2e, 5.MG.1ai, 6.PFA.1e","LanternOutcome-14359, LanternOutcome-14363, LanternOutcome-14550, LanternOutcome-14535, LanternOutcome-14542, LanternOutcome-14540, LanternOutcome-14541, LanternOutcome-14548, LanternOutcome-14211, LanternOutcome-14364, LanternOutcome-14547, LanternOutcome-14230, LanternOutcome-14365, LanternOutcome-14358, LanternOutcome-14294, LanternOutcome-14544, LanternOutcome-14545, LanternOutcome-14357, LanternOutcome-14539",3511899,"7.PFA.1e, 7.PFA.1c, 7.PFA.1d, 7.PFA.1a, 7.CE.2d, 7.CE.2c, 7.PFA.1b, 7.CE.2a, 7.CE.2b","LanternOutcome-14561, LanternOutcome-14559, LanternOutcome-14560, LanternOutcome-14557, LanternOutcome-14298, LanternOutcome-14297, LanternOutcome-14558, LanternOutcome-14295, LanternOutcome-14296",3512923
8019722,u5050grade8t5s,5050_grade8_T5,student,insecure,8,T5,0.5,0.5,22504,"5.PFA.1b, 6.PFA.1f, 6.PFA.1d, 7.PFA.1d, 6.MG.3d, 7.PFA.3e, 6.MG.3c, 7.PFA.1b, 7.PFA.1e, 7.PFA.2d, 7.CE.2a","LanternOutcome-14529, LanternOutcome-14540, LanternOutcome-14538, LanternOutcome-14560, LanternOutcome-14393, LanternOutcome-14570, LanternOutcome-14392, LanternOutcome-14558, LanternOutcome-14561, LanternOutcome-14565, LanternOutcome-14295",completed,"8.PFA.3c, 8.PFA.2a, 8.PFA.3b, 8.PFA.3f, 8.PFA.2b, 8.PFA.3a, 8.PFA.3d, 8.PFA.3e","LanternOutcome-14586, LanternOutcome-14582, LanternOutcome-14585, LanternOutcome-14589, LanternOutcome-14583, LanternOutcome-14584, LanternOutcome-14587, LanternOutcome-14588",3512457
